Company Name,Company Type,Registered,Address,City,State,Country,NACE
DUBLIN CITY STORTAGE LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"132a Richmond Road, Drumcondra ,Dublin 3, ",Dublin,Leinster,Ireland,[5210] Warehousing And Storage
CONSOLIDATED MERCHANT MANAGEMENT INTERNATIONAL LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"The Black Church, St. Marys Place ,Dublin, D07 P4AX",Dublin,Leinster,Ireland,[4649] Wholesale Of Other Household Goods
EVE AESTHETICS LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"78 Dean Swift Road, Glasnevin ,Dublin 11",Dublin,Leinster,Ireland,[9602] Hairdressing And Other Beauty Treatment
FORESTKING LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"The Black Church, St. Mary'S Place ,Dublin, D07 P4AX",Dublin,Leinster,Ireland,[9499] Activities Of Other Membership Organisations N.E.C.
REMI DANIEL LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"23 Addison Road, Fairview ,Dublin 3",Dublin,Leinster,Ireland,"[5911] Motion Picture, Video And Television Programme Production Activities"
EA-TEA LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"95 Parnell Street, Dublin 1 ",Dublin,Leinster,Ireland,[5629] Other Food Service Activities
MED DOC HEALTHCARE LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"1 Tower Road, Clondalkin ,Dublin 22",Dublin,Leinster,Ireland,[7830] Other Human Resources Provision
FURIOUS PANDA SOFTWARE LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"8-9 Marino Mart, Fairview ,Clontarf,Dublin 3, Ireland",Dublin,Leinster,Ireland,[5829] Other Software Publishing
FINEST PET BRANDS LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"8-9 Marino Mart, Fairview ,Clontarf,Dublin 3, Ireland",Dublin,Leinster,Ireland,"[4776] Retail Sale Of Flowers, Plants, Seeds, Fertilisers, Pet Animals And Pet Food In Specialised Stores"
BESD BUSINESS ENERGY SOLUTIONS LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"Suite 2231, 26/27 Upper Pembroke Street ,Dublin 2",Dublin,Leinster,Ireland,[9609] Other Personal Service Activities N.E.C.
SOOPER DOOPER CREATIONS LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"168 Littlepace Walk, Dublin 15 ",Dublin,Leinster,Ireland,[9329] Other Amusement And Recreation Activities
NEOTERIC HEALTHCARE LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"Saint Marys, 5 Howth Road ,Clontarf,Dublin 3",Dublin,Leinster,Ireland,"[4614] Agents Involved In The Sale Of Machinery, Industrial Equipment, Ships And Aircraft"
NJ COFFEE LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"16 Vernon Park, Clontarf ,Dublin 3, ",Dublin,Leinster,Ireland,[5610] Restaurants And Mobile Food Service Activities
SUSTAINET GROUP LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"3 Cavendish Row, Dublin 1 ",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
ALL SHOPPING LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"Clifton House, Office 29, Fitzwilliam Street Lower ,Dublin, D02xt91",Dublin,Leinster,Ireland,[4719] Other Retail Sale In Non-Specialised Stores
KOMPOSMENTUS LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"Apartment 6, 27 Idrone Terrace ,Blackrock,Co. Dublin",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
CHIRISA FINANCE LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"92 Saint Stephen'S Green, Dublin 2 ",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
DOBOCA LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"33 Main Village, Ongar ,Dublin 15",Dublin,Leinster,Ireland,[4299] Construction Of Other Civil Engineering Projects N.E.C.
WINTERIZE CONSULTANCY LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"22 Lorcan Drive, Santry ,Dublin 9",Dublin,Leinster,Ireland,[6202] Computer Consultancy Activities
INTOWORK LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"32 The Castlelands, Castleside Drive, Rathfarnham ,Dublin 14",Dublin,Leinster,Ireland,[7810] Activities Of Employment Placement Agencies
RANDOM ACCESS HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"47 Lynwood, Dundrum ,Dublin 16",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
RANDOM ACCESS METRICS LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"47 Lynwood, Dundrum ,Dublin 16",Dublin,Leinster,Ireland,[8690] Other Human Health Activities
IT-TEST PRO LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"5 Cambridge Hall, Clancy Quay ,Islandbridge,Dublin 8",Dublin,Leinster,Ireland,[7120] Technical Testing And Analysis
BAM BEAUTY AND MORE LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"Clifton House, Office 29, Fitzwilliam Street Lower ,Dublin, D02xt91",Dublin,Leinster,Ireland,[4719] Other Retail Sale In Non-Specialised Stores
ASJR BUSINESS SERVICES LIMITED,Ltd - Private Company Limited By Shares,11/01/2018,"4 Rear Basement, Church Avenue ,Rathmines, Dublin 6, ",Dublin,Leinster,Ireland,[6202] Computer Consultancy Activities
JADE AVIATION LLC,External Company,11/01/2018,"The Oval, Building One, Shelbourne Road ,Ballsbridge, Dublin 4",Dublin,Leinster,Ireland,[]
DUO BUILD LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"70 Hillcourt Road, Glenageary ,Co. Dublin",Dublin,Leinster,Ireland,[4120] Construction Of Residential And Non-Residential Buildings
JENSONR+ (IRELAND) LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"104 Lower Baggot Street, Dublin 2 ",Dublin,Leinster,Ireland,[8299] Other Business Support Service Activities N.E.C.
GROMOW LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"Unit 291 Blanchardstown Corporate Park 2, Dublin 15, D15 F896",Dublin,Leinster,Ireland,"[7490] Other Professional, Scientific And Technical Activities N.E.C."
SUSTAINABLE DIGITAL ENVIRONMENTS LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"Dublin Enterprise & Technology Centre Limited, T/A Guinness Enterprise Centre Taylor'S Lane , Dublin 8",Dublin,Leinster,Ireland,[8299] Other Business Support Service Activities N.E.C.
FASTNET AIR LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"7 Blackheath Avenue, Clontarf ,Dublin 3, D03wp93",Dublin,Leinster,Ireland,[7112] Engineering Activities And Related Technical Consultancy
4ME SOFTWARE SOLUTIONS LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"3 Newbury Heights, Clonshaugh Road, Dublin 17",Dublin,Leinster,Ireland,[6202] Computer Consultancy Activities
LLI BUILDING AND CARPENTRY LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"13 Oldchurch Close, Clondalkin, Dublin 22",Dublin,Leinster,Ireland,[4332] Joinery Installation
EMCO HARDWARE & TRADING SERVICES LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"23, Main Street,, Ongar Village, Dublin 15 ",Dublin,Leinster,Ireland,[6209] Other Information Technology And Computer Service Activities
EASYTEX ALUMINIUM LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"46 Belcamp Avenue, Priorswood, Dublin 17",Dublin,Leinster,Ireland,[4329] Other Construction Installation
HAZELGREEN LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"16 The Court, Cypress Downs, Templeogue, Dublin 6w",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
CASTELFIELD CONSTRUCTION LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"51 Castlefield Court, Clonsilla ,Dublin 15",Dublin,Leinster,Ireland,[4120] Construction Of Residential And Non-Residential Buildings
LAMBA CC LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"143 Donomore Park, Tallaght ,Dublin 24",Dublin,Leinster,Ireland,[9602] Hairdressing And Other Beauty Treatment
DELPIN ENTERPRISES LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"79 Whitestown Avenue, Blanchardstown ,Dublin 15",Dublin,Leinster,Ireland,"[7490] Other Professional, Scientific And Technical Activities N.E.C."
ALDEMERE LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"Aldemere House, Barbarstown Lane ,Westmanstown, Dublin 15",Dublin,Leinster,Ireland,[0150] Mixed Farming
KELLY'S STATION MANAGEMENT COMPANY LIMITED BY GUARANTEE,Clg - Company Limited By Guarantee,12/01/2018,"3 Wilton Place, Dublin 2 ",Dublin,Leinster,Ireland,[6832] Management Of Real Estate On A Fee Or Contract Basis
BUTLER CORUM ASSET MANAGEMENT LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"32 Molesworth Street, Dublin 2 ",Dublin,Leinster,Ireland,"[6499] Other Financial Service Activities, Except Insurance And Pension Funding N.E.C."
DEEPMINT LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"8-9 Marino Mart, Fairview ,Clontarf,Dublin 3",Dublin,Leinster,Ireland,[6612] Security And Commodity Contracts Brokerage
DARACH INVESTMENTS LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"12 Rossmore Park, Templeogue, Dublin 6w ",Dublin,Leinster,Ireland,[9609] Other Personal Service Activities N.E.C.
CTL ENERGY INTERNATIONAL LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"70 Sir John Rogerson'S Quay, Dublin 2 ",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
CTL ENERGY HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"70 Sir John Rogerson'S Quay, Dublin 2 ",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
AL JAWDA LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"163 S Circular Road, Merchants Quay ,Dublin 8",Dublin,Leinster,Ireland,[4729] Other Retail Sale Of Food In Specialised Stores
SOMERSET COAL INTERNATIONAL HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"70 Sir John Rogerson'S Quay, Dublin 2 ",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
JOINTI PACS COMPANY LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"Unit 6, Stokes Court ,Dundrum,Dublin 14",Dublin,Leinster,Ireland,[4791] Retail Sale Via Mail Order Houses Or Via Internet
CICERO CONSULTING DUBLIN LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"2nd Floor (Room 210), The Victorians ,15-18 Earlsfort Terrace,Dublin 2, D02 Yx28",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
T & M KAMELEON LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"78 Talbot Street, Dublin 1 ",Dublin,Leinster,Ireland,[9602] Hairdressing And Other Beauty Treatment
FORGEBELL LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"76 Merrion Square, Dublin 2 , D02 Ny76",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
LIBERTY HOMECARE LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"55 Wellington Road, Templeogue ,Dublin 6w",Dublin,Leinster,Ireland,[8690] Other Human Health Activities
COLD TONIC LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"95 Howth Road, Howth ,Co. Dublin, D13 Pv20",Dublin,Leinster,Ireland,[5920] Sound Recording And Music Publishing Activities
JWA PROPERTY LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"1 Woodbine Close, Raheny ,Dublin 5",Dublin,Leinster,Ireland,[6810] Buying And Selling Of Own Real Estate
CB SURFACE REPAIR SPECIALISTS LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"Ballysop, Whitechurch ,New Ross, Wexford, Y34r289",Dublin,Leinster,Ireland,[4339] Other Building Completion And Finishing
GIULIA HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"322 The Capel Building, Mary'S Abbey ,Dublin 7",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
HAMRA HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"322 The Capel Building, Mary'S Abbey ,Dublin 7",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
HOSPITALITY REMASTERED LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"322 The Capel Building, Mary'S Abbey ,Dublin 7",Dublin,Leinster,Ireland,[5590] Other Accommodation
CHANGE DIRECTION LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"18 Clonkeen Drive, Foxrock ,Dublin 18",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
RÉITEACH CONSULTANCY LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"Harvest, 40a Saint John'S Drive ,Clondalkin, Dublin 22",Dublin,Leinster,Ireland,"[7490] Other Professional, Scientific And Technical Activities N.E.C."
CULLEN TAX AND CORPORATE SERVICES LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"46 Fitzwilliam Square West, Dublin 2 ",Dublin,Leinster,Ireland,"[6920] Accounting, Bookkeeping And Auditing Activities; Tax Consultancy"
DIASORIN I.N. LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"88 Harcourt Street, Dublin 2 , D02 Dk18",Dublin,Leinster,Ireland,[7219] Other Research And Experimental Development On Natural Sciences And Engineering
VIDI LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"187 Larkhill Road, Whitehall ,Dublin 9, ",Dublin,Leinster,Ireland,[6209] Other Information Technology And Computer Service Activities
DESIGN DECOR INNOVATIONS LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"10 Cherrywood Villas, Clondalkin ,Dublin 22, ",Dublin,Leinster,Ireland,[4334] Painting And Glazing
SISI IT SERVICES LIMITED,Ltd - Private Company Limited By Shares,12/01/2018,"3 Stratton Lawn, Adamstown Castle ,Lucan,Co. Dublin",Dublin,Leinster,Ireland,[6202] Computer Consultancy Activities
RITE TRACK SCOTLAND LIMITED,External Company,12/01/2018,"Office 1, First Floor, The Griffeen Centre ,Lucan,County Dublin",Dublin,Leinster,Ireland,[]
IPB INTERCAMBIO LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"36 North Great George'S Street, Dublin 1 ",Dublin,Leinster,Ireland,[7911] Travel Agency Activities
JB CAPITAL LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"26 Baggot Street Lower, Dublin 2, D02 P211",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
PAULO RIBEIRO'S LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"82 Castlemoyne, Dublin 13 ",Dublin,Leinster,Ireland,[5610] Restaurants And Mobile Food Service Activities
SALTY LEAVE HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"26 Baggot Street Lower, Dublin 2, D02 P211",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
COLTRANE MEDIA CONSULTING LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Claragh, 106 Connaught Street ,Phibsborough,Dublin 7",Dublin,Leinster,Ireland,[9609] Other Personal Service Activities N.E.C.
GRANGE AGRI LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"E2 Nutgrove Office Park, Rathfarnham ,Dublin 14, ",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
NAUGHTON RAINWATER SYSTEMS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"2 Ellensborough Cresent, Kiltipper Road ,Dublin 24, ",Dublin,Leinster,Ireland,[4399] Other Specialised Construction Activities N.E.C.
MARYLAND LANDSCAPES LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"The Bungalow, Maryland Farm ,Kilsallaghan, Co. Dublin",Dublin,Leinster,Ireland,[8130] Landscape Service Activities
KIRKFELL SERVICES IRELAND LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Osk, East Point Plaza ,East Point,Dublin 3",Dublin,Leinster,Ireland,"[7490] Other Professional, Scientific And Technical Activities N.E.C."
ALMOST THERE ENTERTAINMENT LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"3rd Floor, Kilmore House, Park Lane, Spencer Dock ,Dublin 1",Dublin,Leinster,Ireland,[5829] Other Software Publishing
GRANTS MASTER BUTCHERS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Unit 4 Frascati Centre, Blackrock ,Co. Dublin, ",Dublin,Leinster,Ireland,[4722] Retail Sale Of Meat And Meat Products In Specialised Stores
UNITED EDUCATION LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"30a Seapoint Avenue, Blackrock ,Co Dublin, ",Dublin,Leinster,Ireland,[8559] Other Education N.E.C.
FLUTURE LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"148 Temple Gardens, Northwood ,Santry,Dublin 9",Dublin,Leinster,Ireland,[4299] Construction Of Other Civil Engineering Projects N.E.C.
IFOODIE MENU LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"89 Gleann Na Ri, Druid Valley ,Cabinteely, D18fc7",Dublin,Leinster,Ireland,[5610] Restaurants And Mobile Food Service Activities
ADRIAN STRAMBU LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"11 The Old Mill, Main Street ,The Naul,County Dublin",Dublin,Leinster,Ireland,[4120] Construction Of Residential And Non-Residential Buildings
TIMBER FIRE DOOR SPECIALISTS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Unit 2f, Kylemore Park South ,Ballyfermot,Dublin 10",Dublin,Leinster,Ireland,[4399] Other Specialised Construction Activities N.E.C.
GREEK YACHT SALES LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Station House, Shankill ,Co Dublin, ",Dublin,Leinster,Ireland,[4618] Agents Specialised In The Sale Of Other Particular Products
MINI MANNERS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"34 Whitestown Avenue, Blanchardstown ,Dublin 15, ",Dublin,Leinster,Ireland,[8510] Pre-Primary Education
ROSEHIP EVENTS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Suite 14 The Cube Offices, Beacon South Quarter ,Sandyford, Dublin 18",Dublin,Leinster,Ireland,"[7490] Other Professional, Scientific And Technical Activities N.E.C."
DANUBIA HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"First Floor, Unit 2a Nagor Road Business Park ,Nagor Road,Dublin 12",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
AIRGEAD COIN LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Unit 1a, Upper Cranford Centre ,Montrose,Dublin 4, Do4x6ho",Dublin,Leinster,Ireland,[4672] Wholesale Of Metals And Metal Ores
IMCC DESIGN LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"8 The Laurels, Terenure ,Dublin 6w",Dublin,Leinster,Ireland,"[7490] Other Professional, Scientific And Technical Activities N.E.C."
FRYSTON ENGINEERING LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"The Black Church, St. Marys Place ,Dublin, D07 P4ax",Dublin,Leinster,Ireland,[7112] Engineering Activities And Related Technical Consultancy
GTROM LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"28 Pintail House, Red Court Oaks, Seafield Road East ,Clontarf, Dublin 3",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
NORDIC ELEMENTS STUDIO LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"54 Booterstown Avenue, Blackrock ,Co. Dublin, A94 C6d0",Dublin,Leinster,Ireland,[7410] Specialised Design Activities
CARATEX LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"100a Brian Avenue, Marino ,Dublin 3",Dublin,Leinster,Ireland,[4642] Wholesale Of Clothing And Footwear
SHEER AESTHETICS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Northbrook Clinic, Northbrook Road ,Ranelagh, Dublin 6",Dublin,Leinster,Ireland,[9602] Hairdressing And Other Beauty Treatment
JEANNE BROPHY SKINCARE LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"49 Clontarf Road, Clontarf ,Dublin 3",Dublin,Leinster,Ireland,[9602] Hairdressing And Other Beauty Treatment
DATAPROTEK LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Sundrive Road, Rush ,Co Dublin, K56np79",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
TALKWAY LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"The Brickhouse, Block 1 ,Clanwilliam Court,Mount Street Lower, Dublin 2",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
DANIEL MORRISSEY & SONS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Saint Stephen'S Green House, Earlsfort Terrace , Dublin 2",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
MEETYGO LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Astor Hall, 4-6 Eden Quay ,Dublin 1",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
ELM CORPORATE CREDIT DESIGNATED ACTIVITY COMPANY,Dac - Designated Activity Company (Limited By Shares),15/01/2018,"2 Grand Canal Square, Grand Canal Harbour ,Dublin 2",Dublin,Leinster,Ireland,[6492] Other Credit Granting
BONIFAY UNLIMITED COMPANY,Ulc - Private Unlimited Company,15/01/2018,"Unit 4 Parkway House, Ballymount Drive ,Dublin 12, D12 Ecr9",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
TENAYA UNLIMITED COMPANY,Ulc - Private Unlimited Company,15/01/2018,"Unit 4 Parkway House, Ballymount Drive ,Dublin 12, D12 Ecr9",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
TREPITO UNLIMITED COMPANY,Ulc - Private Unlimited Company,15/01/2018,"Unit 4 Parkway House, Ballymount Drive ,Dublin 12, D12 Ecr9",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
ATENY UNLIMITED COMPANY,Ulc - Private Unlimited Company,15/01/2018,"Unit 4 Parkway House, Ballymount Drive ,Dublin 12, D12 Ecr9",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
IMTIAZ HEALTH CARE LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"79 The Atrium, Beechwood Court, Stillorgan ,Blackrock,Dublin, A94 D3a0",Dublin,Leinster,Ireland,[8621] General Medical Practice Activities
STILLS AND MOTION PRODUCTIONS LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"8 Madden Road, Dublin 8 , , ",Dublin,Leinster,Ireland,[7420] Photographic Activities
AMBER DEW LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Swords Food Park, Lissenhall ,Swords,Co Dublin",Dublin,Leinster,Ireland,[4618] Agents Specialised In The Sale Of Other Particular Products
JUST COOL MODA LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"Apartment 233, Cowper Downs ,Rathmines,Dublin 6",Dublin,Leinster,Ireland,"[4616] Agents Involved In The Sale Of Textiles, Clothing, Fur, Footwear And Leather Goods"
FGPO IRELAND GENERAL PARTNER 7 LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"4th Floor, 76 Baggot Street Lower ,Dublin 2",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
VIKING LEASING 40063 DESIGNATED ACTIVITY COMPANY,Dac - Designated Activity Company (Limited By Shares),15/01/2018,"Fourth Floor, 3 George'S Dock, Ifsc ,Dublin 1",Dublin,Leinster,Ireland,[7735] Renting And Leasing Of Air Transport Equipment
LSREF V SARGASSO II DESIGNATED ACTIVITY COMPANY,Dac - Designated Activity Company (Limited By Shares),15/01/2018,"Sixth Floor, Fitzwilliam Court ,Leeson Court, Dublin 2",Dublin,Leinster,Ireland,[6630] Fund Management Activities
CHANÁIL MHÓR SERVICES LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"15 Clanwilliam Terrace, Dublin 2 , , ",Dublin,Leinster,Ireland,[6910] Legal Activities
GATES IRISH FINANCE UNLIMITED COMPANY,Ulc - Private Unlimited Company,15/01/2018,"2nd Floor, 1-2 Victoria Buildings, Haddington Road , Dublin 4",Dublin,Leinster,Ireland,"[6499] Other Financial Service Activities, Except Insurance And Pension Funding N.E.C."
POB CONSULTING LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"24 St Gabriels, Cabinteely ,Dublin 18, ",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
CAROLINE SIMONS MUSIC LIMITED,Ltd - Private Company Limited By Shares,15/01/2018,"32 The Coombe, Merchants Quay ,D08 Dy9y, Dublin",Dublin,Leinster,Ireland,[9329] Other Amusement And Recreation Activities
PROMONTORIA (FIELD) DESIGNATED ACTIVITY COMPANY,Dac - Designated Activity Company (Limited By Shares),15/01/2018,"1st Floor, 1-2 Victoria Buildings ,Haddington Road, Dublin 4",Dublin,Leinster,Ireland,"[6499] Other Financial Service Activities, Except Insurance And Pension Funding N.E.C."
TEMPLE BAR DIGITAL LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"1-5 Crampton Court, Temple Bar ,Dublin 2, ",Dublin,Leinster,Ireland,[6120] Wireless Telecommunications Activities
ALL MEDICAL PROFESSIONALS (EUROPE) LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"Clifton House Business Centre, Fitzwilliam Street Lower ,Dublin 2, ",Dublin,Leinster,Ireland,[6622] Activities Of Insurance Agents And Brokers
FOX&HOLDORF LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"Apartment 51, Baltrasna House ,Spencer Dock,North Wall, Dublin 1",Dublin,Leinster,Ireland,[4791] Retail Sale Via Mail Order Houses Or Via Internet
PLACIDWAY LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"The Brickhouse, Block 1 ,Clanwilliam Court,Mount Street Lower, Dublin 2",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
GRATEVALE LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"Unit 13 The Westway Centre, Ballymount Avenue ,Dublin 12,Ireland",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
WISDOMTREE IRELAND LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"Arthur Cox, 10 Earlsfort Terrace ,Dublin 2., ",Dublin,Leinster,Ireland,"[6499] Other Financial Service Activities, Except Insurance And Pension Funding N.E.C."
SHERIDAN RESOLUTIONS LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"Suite 9969, 26 Pembroke Street Upper ,Dublin 2, ",Dublin,Leinster,Ireland,[9609] Other Personal Service Activities N.E.C.
DLD ASSET HOLDINGS LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"80 Drumcondra Road Upper, Dublin 9 ",Dublin,Leinster,Ireland,"[7490] Other Professional, Scientific And Technical Activities N.E.C."
PORTMEDICO AESTHETICS LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"84 Merrion Square, Dublin 2 ",Dublin,Leinster,Ireland,[8690] Other Human Health Activities
MERRION MEDICAL AESTHETICS LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"84 Merrion Square South, Dublin 2 ",Dublin,Leinster,Ireland,[8690] Other Human Health Activities
CRITTERS TV DESIGNATED ACTIVITY COMPANY,Dac - Designated Activity Company (Limited By Shares),16/01/2018,"30 Carleton Road, Marino ,Dublin 3",Dublin,Leinster,Ireland,[9329] Other Amusement And Recreation Activities
BLUE BINNACLE LIMITED,Ltd - Private Company Limited By Shares,16/01/2018,"7a Collins Avenue West, Dublin 9 ",Dublin,Leinster,Ireland,[7112] Engineering Activities And Related Technical Consultancy
