Company Name,Company Type,Registered,Address,City,State,Country,NACE
PFX CONSULTING LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"54 Blackthorn Close, Portmarnock ,Co. Dublin",Dublin,Leinster,Ireland,"[6920] Accounting, Bookkeeping And Auditing Activities; Tax Consultancy"
TMO ANALYSTS LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"4 Saint Alban'S Park, Sandymount ,Dublin 4",Dublin,Leinster,Ireland,[6202] Computer Consultancy Activities
ER BUILDING GROUP LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"1 Bow Bridge Business Centre, Bow Lane West ,Kilmainham,Dublin 8",Dublin,Leinster,Ireland,[4339] Other Building Completion And Finishing
STOVEPIPE BLAZE SOURDOUGH PIZZA BAKERY LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"10 Killeen Court, Malahide ,Co. Dublin",Dublin,Leinster,Ireland,[5610] Restaurants And Mobile Food Service Activities
KOB PROJECT MANAGEMENT LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"32 Glenville Way, Castleknock ,Dublin 15",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
BEACHRUM TRADERS LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"16 Main Street, Blackrock ,Co Dublin",Dublin,Leinster,Ireland,[5630] Beverage Serving Activities
THE LYPTON VILLAGE CANDLE COMPANY LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"Bloomsday, 30 Belgrove Lawn ,Chapelizod, Dublin 20",Dublin,Leinster,Ireland,[4690] Non-Specialised Wholesale Trade
MILLIE & BINKY LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"59 Portmarnock Crescent, Portmarnock , Co. Dublin",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
NORTHERN HEMISPHERE SAILING LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"71 O'Connell Street, Limerick ",Dublin,Leinster,Ireland,[9609] Other Personal Service Activities N.E.C.
LUCOSYS TECHNOLOGY LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"63 Cloncurry House, Spencer Dock ,Park Lane, Dublin, Do1 Hp66",Dublin,Leinster,Ireland,[7022] Business And Other Management Consultancy Activities
RLS SEARCH LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"Unit 12, Terenure Enterprise Centre ,17 Rathfarnham Road, Dublin 6w",Dublin,Leinster,Ireland,[7810] Activities Of Employment Placement Agencies
RS FITNESS SOLUTIONS LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"42 Glenavon Park, Ballybrack ,Co. Dublin",Dublin,Leinster,Ireland,[8899] Other Social Work Activities Without Accommodation N.E.C.
CLOUDOLOGY LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"Dún Na Rí, 4 Barnhill Lawn ,Dalkey,Co. Dublin",Dublin,Leinster,Ireland,[6202] Computer Consultancy Activities
THE BARBER SCHOOL OF EXCELLENCE LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"55 South King Street, Dublin 2 , , ",Dublin,Leinster,Ireland,[9609] Other Personal Service Activities N.E.C.
GRANGE PARK DEVELOPMENTS LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"21 Grange Park, Rathfarnham ,Dublin 14, ",Dublin,Leinster,Ireland,[4399] Other Specialised Construction Activities N.E.C.
ADRIAN HILL ARCHITECTS LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"No 13, The Seapoint Building ,44-45 Clontarf Road,Dublin 3",Dublin,Leinster,Ireland,[7111] Architectural Activities
TOPLINE PLASTERING LIMITED,Ltd - Private Company Limited By Shares,03/01/2018,"60 Cherry Park, Swords ,Co. Dublin, ",Dublin,Leinster,Ireland,[4331] Plastering
REDHILL BELL LIMITED,Ltd - Private Company Limited By Shares,04/01/2018,"44 Main Street, Ongar Village ,Dublin 15, ",Dublin,Leinster,Ireland,[6420] Activities Of Holding Companies
BUDGET AUTOS CENTRE LIMITED,Ltd - Private Company Limited By Shares,04/01/2018,"121 Drimnagh Road, Dublin 12 ",Dublin,Leinster,Ireland,[4520] Maintenance And Repair Of Motor Vehicles
